n,temps_moyen
1,7.756900231470353e-07
4512,0.0001541638200797024
9023,0.0002997380499618885
13534,0.00044269430998610914
18046,0.0005963718900420645
22557,0.0007648719500866719
27068,0.0009107639499416109
31579,0.0011400263600990002
36091,0.0012028180498418807
40602,0.0013645907199497742
45113,0.0014697790400714438
49625,0.0016367021500445845
54136,0.001791562070047803
58647,0.0019556514100077037
63158,0.0020985613200537045
67670,0.0022507931800100777
72181,0.00218964011000935
76692,0.0012187551699207688
81203,0.0012880169100571949
85715,0.0013860254099745362
90226,0.0014501591499902133
94737,0.001480580900079076
99249,0.00157054610997875
103760,0.0016390233099627949
108271,0.0017136514900448674
112782,0.0017949142000361462
117294,0.0019382289499299077
121805,0.0020433026899081596
126316,0.002204706939919561
130827,0.0022857855700749497
135339,0.0023464500000409316
139850,0.0024253138900530756
144361,0.0024563579500136257
148873,0.0025516984399655486
153384,0.002606679430082295
157895,0.002721243640207831
162406,0.0028559715800474807
166918,0.0029687807298432746
171429,0.0030353519300297194
175940,0.003094280409932253
180452,0.003196658129891148
184963,0.0033182128400585497
189474,0.003362406309970538
193985,0.00349954772995261
198497,0.0036228550300074856
203008,0.003683569650092977
207519,0.0037462122200304293
212030,0.0038629983499413358
216542,0.003973881380024977
221053,0.003954962629977672
225564,0.00403792600003726
230076,0.004024607830124296
234587,0.004194669919852459
239098,0.004295261379957083
243609,0.004360924350021378
248121,0.0044650273101433414
252632,0.0045338317500318226
257143,0.004650717809963681
261654,0.004644863250141498
266166,0.004917231440031173
270677,0.004868304050123697
275188,0.004985789009988366
279700,0.005194780259971594
284211,0.00531317274997491
288722,0.0053869101000054796
293233,0.005293584939990979
297745,0.0055065674499019225
302256,0.005620353420017637
306767,0.005642704989950289
311279,0.0058523598500869415
315790,0.00580103312016945
320301,0.0059076899000683625
324812,0.00597667417001503
329324,0.00562225830004536
333835,0.005846713580085634
338346,0.0059604193999075504
342857,0.006185936740093894
347369,0.006258607230010966
351880,0.006263437910001812
356391,0.006473003389965015
360903,0.006589815890019963
365414,0.00665142920001017
369925,0.006552153889988404
374436,0.006566969710002013
378948,0.006651485879883694
383459,0.006833834909975849
387970,0.006921070889929979
392481,0.007018745099976513
396993,0.007239686009925208
401504,0.0072255734099780965
406015,0.007389267690105044
410527,0.007740467480089137
415038,0.007903025379928295
419549,0.007926172179923014
424060,0.008140827609895495
428572,0.007778232880100404
433083,0.008184953490035696
437594,0.007974650340074732
442106,0.008809147399970243
446617,0.009061170470049546
451128,0.00839174220998757
455639,0.008386909459895833
460151,0.008562144259958587
464662,0.008725157400131139
469173,0.00870741545011697
473684,0.008862301579938503
478196,0.009031312559945945
482707,0.008954751520050194
487218,0.00911144392002825
491730,0.0093191859900071
496241,0.00938020975996551
500752,0.00949189546996422
505263,0.009829211189953639
509775,0.010279364269972575
514286,0.010199822000104178
518797,0.01030830410994895
523308,0.010220647860041936
527820,0.01035782182998446
532331,0.010795815359942935
536842,0.010551322920091479
541354,0.011080757450035889
545865,0.010922044220042153
550376,0.010889673330020742
554887,0.011701675280000927
559399,0.011712428000028013
563910,0.011914378029869112
568421,0.010925436149900634
572933,0.010990343119956378
577444,0.011196283799890808
581955,0.011531767970027432
586466,0.011562857209955837
590978,0.011862367669928063
595489,0.01156103739993341
600000,0.01168804814991745
604511,0.011934107840024808
609023,0.01201191067986656
613534,0.012800937880128913
618045,0.012308375450083986
622557,0.012365511729985883
627068,0.012989605759994447
631579,0.013373468370136834
636090,0.013607272369918065
640602,0.01400548351000907
645113,0.013259183730024233
649624,0.012976181820031343
654135,0.013816091459957533
658647,0.013109670479971101
663158,0.013475210630022048
667669,0.013170601010060637
672181,0.013308003380025184
676692,0.013979744620064594
681203,0.013558471279975493
685714,0.013899086929941405
690226,0.014043279329926009
694737,0.014003956060114432
699248,0.013840097150023212
703760,0.01447149586994783
708271,0.014346954520060535
712782,0.01497285560993987
717293,0.015300018030065985
721805,0.015014094850030232
726316,0.015252783659943816
730827,0.015114183929999853
735338,0.01591953742001351
739850,0.01588121327005865
744361,0.015915431839948722
748872,0.016540955040036352
753384,0.016705050589971505
757895,0.015896572649908194
762406,0.016800983899975107
766917,0.016831381550036894
771429,0.016817289140035427
775940,0.016356746940018638
780451,0.016761781819932365
784962,0.017345877109946742
789474,0.016793470839893417
793985,0.01791213898000933
798496,0.016939589399971738
803008,0.017371652579913643
807519,0.017336862760148505
812030,0.018807959600089817
816541,0.01713411330991221
821053,0.017470475409882055
825564,0.016709896639931686
830075,0.017891121249995194
834587,0.017853368750038498
839098,0.018019117490075585
843609,0.01802085156004978
848120,0.018577859639935922
852632,0.018072406939900247
857143,0.018556476609919628
861654,0.01812960686009319
866165,0.018331406210018032
870677,0.018517688940009977
875188,0.01922978720991523
879699,0.018508716829892365
884211,0.019835996970014095
888722,0.019556923619893495
893233,0.020453825180084095
897744,0.020222639049916325
902256,0.020000328370024363
906767,0.019508638389997942
911278,0.019068122819990093
915789,0.019267556720096765
920301,0.020147590419928748
924812,0.019976077809915296
929323,0.020282235489976302
933835,0.01927408566001759
938346,0.01975565797001764
942857,0.02022277797017523
947368,0.020438644009955168
951880,0.020996641460042157
956391,0.02189140372007387
960902,0.019684599110132695
965413,0.02084695733985427
969925,0.01986972239013994
974436,0.02070001637992391
978947,0.021830906600007437
983459,0.021720110880032735
987970,0.0204642123499616
992481,0.02120665493008346
996992,0.020722818459944392
1001504,0.021862373640051374
1006015,0.02083467443995687
1010526,0.0213499522600614
1015038,0.020939554489978036
1019549,0.022585355670053105
1024060,0.021621101899909262
1028571,0.02232399123993673
1033083,0.021998867060028716
1037594,0.023327784489883926
1042105,0.022638225680038884
1046616,0.022253705139974045
1051128,0.02325485873998332
1055639,0.023793646979920594
1060150,0.022830881040026726
1064662,0.022938660749859993
1069173,0.022169250569986615
1073684,0.022781140829993093
1078195,0.022287339569975303
1082707,0.023269332139952893
1087218,0.023799143559899677
1091729,0.024189185519971942
1096240,0.02300944806998814
1100752,0.02516513083010068
1105263,0.02456579354007772
