,Algo1,Algo1,Algo2,Algo2,Algo3,Algo3,Algo4,Algo4
,mean,std,mean,std,mean,std,mean,std
Chiffres,,,,,,,,
3,2.8e-06,9.189365834726814e-07,2.2e-06,7.888106377466155e-07,1.2e-06,4.216370213557839e-07,1e-06,0.0
6,0.0017032000000000002,0.000728315835030075,0.0009140000000000001,0.0004494643725838815,3.4e-06,8.432740427115677e-07,2.2e-06,6.324555320336758e-07
9,0.2651946,0.7014682075149713,0.08215080000000001,0.1965242375042382,1.5000000000000002e-05,2.257333727111602e-05,8.4e-06,1.3133502536981097e-05
12,4.6e-06,1.1177358065899711e-05,4.5e-06,1.1217545780309227e-05,4.9e-06,1.1406138698087097e-05,2.5e-06,5.52268050859363e-06
